Date,Match,Arena
2024-04-11,Sacramento Kings vs New Orleans Pelicans,Golden 1 Center
2024-04-12,Philadelphia 76ers vs Orlando Magic,Wells Fargo Center
2024-04-12,Washington Wizards vs Chicago Bulls,Capital One Arena
2024-04-12,Boston Celtics vs Charlotte Hornets,TD Garden
2024-04-12,Cleveland Cavaliers vs Indiana Pacers,Rocket Mortgage Fieldhouse
2024-04-12,New York Knicks vs Brooklyn Nets,Madison Square Garden (IV)
2024-04-12,Memphis Grizzlies vs Los Angeles Lakers,FedEx Forum
2024-04-12,Miami Heat vs Toronto Raptors,Kaseya Center
2024-04-12,Minnesota Timberwolves vs Atlanta Hawks,Target Center
2024-04-12,Oklahoma City Thunder vs Milwaukee Bucks,Paycom Center
2024-04-12,San Antonio Spurs vs Denver Nuggets,Frost Bank Center
2024-04-12,Dallas Mavericks vs Detroit Pistons,American Airlines Center
2024-04-12,Golden State Warriors vs New Orleans Pelicans,Chase Center
2024-04-12,Portland Trail Blazers vs Houston Rockets,Moda Center
2024-04-12,Los Angeles Clippers vs Utah Jazz,Crypto.com Arena
2024-04-12,Sacramento Kings vs Phoenix Suns,Golden 1 Center
2024-04-14,Boston Celtics vs Washington Wizards,TD Garden
2024-04-14,Cleveland Cavaliers vs Charlotte Hornets,Rocket Mortgage Fieldhouse
2024-04-14,Indiana Pacers vs Atlanta Hawks,Gainbridge Fieldhouse
2024-04-14,Miami Heat vs Toronto Raptors,Kaseya Center
2024-04-14,New York Knicks vs Chicago Bulls,Madison Square Garden (IV)
2024-04-14,Orlando Magic vs Milwaukee Bucks,Amway Center
2024-04-14,Philadelphia 76ers vs Brooklyn Nets,Wells Fargo Center
2024-04-14,Golden State Warriors vs Utah Jazz,Chase Center
2024-04-14,Los Angeles Clippers vs Houston Rockets,Crypto.com Arena
2024-04-14,Memphis Grizzlies vs Denver Nuggets,FedEx Forum
2024-04-14,Minnesota Timberwolves vs Phoenix Suns,Target Center
2024-04-14,New Orleans Pelicans vs Los Angeles Lakers,Smoothie King Center
2024-04-14,Oklahoma City Thunder vs Dallas Mavericks,Paycom Center
2024-04-14,Sacramento Kings vs Portland Trail Blazers,Golden 1 Center
2024-04-14,San Antonio Spurs vs Detroit Pistons,Frost Bank Center
